Date,Time,Latitude,Longitude,Magnitude,Epicenter,
2015-06-18,02:39,28.14,85.11,4.1,Dhading,
2015-06-17,02:15,28.27,85.94,5.1,Tibet,
2015-06-17,00:41,27.9,85.58,4,Sindhupalchok,
2015-06-17,00:29,27.91,85.59,5.2,Sindhupalchok,
2015-06-17,00:13,27.68,85.28,4.4,Kathmandu,
2015-06-16,16:11,27.7,86.16,4.1,Dolakha,
2015-06-15,10:07,27.87,85.72,4.1,Sindhupalchowk,
2015-06-14,09:16,27.74,86.26,4.1,Dolakha,
2015-06-14,00:14,27.8,85.15,4.2,Nuwakot,
2015-06-13,01:18,27.73,86.16,5.2,Dolakha,
2015-06-12,19:37,28.21,84.81,4.6,Gorkha,
2015-06-12,04:34,27.67,86.09,4.4,Dolakha,
2015-06-11,18:41,27.67,86.07,4,Dolakha,
2015-06-11,16:12,27.96,85.73,5.3,Sindhupalchowk,
2015-06-11,04:17,27.8,85.78,4.6,Sindhupalchowk,
2015-06-10,21:05,27.87,85.81,4.1,Sindhupalchowk,
2015-06-10,09:06,27.62,86.1,4.2,Dolakha,
2015-06-10,07:51,27.8,85.61,4.3,Sindhupalchowk,
2015-06-07,16:50,27.87,86.13,4.1,Dolakha,
2015-06-07,05:17,27.9,85.64,4.6,Sindhupalchowk,
2015-06-06,20:48,28.26,85.86,4.2,Tibet,
2015-06-06,17:00,27.58,86.18,4,Dolakha,
2015-06-05,08:31,27.7,85.22,4,Kathmandu,
2015-06-05,04:17,27.79,85.78,4.1,Sindhupalchowk,
2015-06-04,10:30,27.76,86.2,4,Dolakha,
2015-06-03,21:00,27.84,85.78,4.1,Sindhupalchowk,
2015-06-03,11:53,27.7,86.26,4.5,Dolakha,
2015-06-03,08:54,27.76,86.07,4.2,Dolakha,
2015-06-03,07:52,27.79,85.87,4.5,Sindhupalchowk,
2015-06-02,08:33,30,81.75,4.7,Humla,
2015-06-02,05:03,27.78,86.2,4,Dolakha,
2015-06-01,22:50,27.98,85.51,4,Sindhupalchowk,
2015-05-31,01:54,28.29,84.46,4.2,Lamjung,
2015-05-30,10:13,27.79,85.17,4.5,Nuwakot,
2015-05-30,08:35,28.01,85.19,4,Rasuwa,
2015-05-30,01:52,27.75,85.21,4,Dhading,
2015-05-29,12:37,27.82,86.34,4.2,Dolakha,
2015-05-29,12:30,28.01,84.84,4.8,Dhading,
2015-05-29,08:30,28.17,84.72,4,Gorkha,
2015-05-29,05:20,28.07,84.94,4.2,Dhading,
2015-05-29,03:44,28,84.98,5.2,Dhading,
2015-05-28,12:14,27.59,86.16,4.1,Dolakha,
2015-05-28,11:36,27.59,86.19,4.2,Dolakha,
2015-05-28,10:16,27.94,85.54,4,Sindhupalchowk,
2015-05-28,05:29,27.77,86.25,4.2,Dolakha,
2015-05-28,05:12,27.64,85.31,4,Kathmandu,
2015-05-28,03:40,27.95,84.8,4,Dhading,
2015-05-28,03:07,27.99,84.79,4,Dhading,
2015-05-27,12:03,27.59,86.2,4.2,Dolakha,
2015-05-27,10:29,28.04,85.13,4.2,Nuwakot,
2015-05-27,01:16,27.89,85.53,4.6,Sindhupalchowk,
2015-05-27,01:15,27.91,85.53,4.5,Sindhupalchowk,
2015-05-26,10:52,28.02,85.26,5,Rasuwa,
2015-05-26,08:00,27.54,85.43,4.3,Lalitpur,
2015-05-26,06:39,27.71,86.05,4.1,Dolakha,
2015-05-26,05:48,27.63,86.3,4.1,Dolakha,
